
 No:  Chain   Z    rmsd lali nres  %id PDB  Description
   1:  6y84-A 50.7  0.0  304   304  100 PDB  MOLECULE: NON-STRUCTURAL POLYPROTEIN 1AB;                            
   2:  6yb7-A 49.6  0.1  304   306  100 PDB  MOLECULE: SARS-COV-2 MAIN PROTEASE;                                  
   3:  5rfc-A 49.4  0.1  304   304  100 PDB  MOLECULE: MAIN PROTEASE;       
   
  76:  5rfp-A 48.2  0.3  304   304  100 PDB  MOLECULE: MAIN PROTEASE;                                             
  77:  5ren-A 48.0  0.4  304   304  100 PDB  MOLECULE: MAIN PROTEASE;                                             
  78:  6m03-A 47.6  0.4  304   306  100 PDB  MOLECULE: SARS-COV-2 MAIN PROTEASE;                                  
  79:  6w63-A 46.5  0.6  304   305  100 PDB  MOLECULE: MAIN PROTEASE;                                             
  80:  2z9j-B 46.1  1.0  304   304   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  81:  3aw1-A 46.1  0.6  301   301   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  82:  2a5k-A 46.0  0.8  304   305   96 PDB  MOLECULE: 3C-LIKE PEPTIDASE;                                         
  83:  2z9k-A 46.0  1.0  304   305   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  84:  3vb7-B 45.9  1.0  304   306   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  85:  3aw1-B 45.8  0.9  300   300   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  86:  3vb4-A 45.8  0.6  301   301   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  87:  3vb4-B 45.8  0.9  304   306   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  88:  3vb5-B 45.7  1.0  304   306   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  89:  2duc-A 45.6  1.1  304   306   96 PDB  MOLECULE: REPLICASE POLYPROTEIN 1AB;                                 
  90:  3m3s-A 45.6  1.0  304   306   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  91:  3vb6-B 45.6  1.0  304   306   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  92:  3ea7-A 45.6  0.9  304   305   96 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
  93:  2h2z-A 45.5  0.8  301   306   96 PDB  MOLECULE: REPLICASE POLYPROTEIN 1AB;                                 
